"case","m_hat","mood.approx.a","mood.approx.b","mood.approx.p","mood.exact.p","mood.diff"
"n01",99.7560690474996,19,9,0.0597556500932658,0.0305736072985409,-0.0291820427947249
"n02",0.136563074050377,3,6,0.314685314685315,0.619269619269619,0.304584304584304
"n03",54.0261644883886,9,35,0.00000130296339087046,0.000471644364715555,0.000470341401324685
"n04",1.04574349744975,89,18,0.121033288225837,0.169766442282897,0.04873315405706
"n05",0.892604950494872,0,2,0.428571428571428,1,0.571428571428572
"n06",1.49753738146946,4,28,0.0000000487530271507797,0.000000116775192366897,0.0000000680221652161173
"n07",1.10733279315137,25,19,0.261065283603835,0.823252173211423,0.562186889607588
"n08",1.99979382862191,17,27,0.0692640439176866,0.317340011285686,0.248075967367999
"n09",0.786806294927374,11,23,0.00805982614081151,0.00380378350432944,-0.00425604263648207
"n10",0.493266175594432,16,31,0.00291780153116564,0.000657189270153127,-0.00226061226101251
"n11",0.71002603141106,20,20,1,1,0
"n12",3,21,19,0.838416643920297,0.838416643920297,0
"n13",10.2766758063018,422,561,6.32714278885694e-10,8.45097939408845e-10,2.12383660523151e-10
"n14",0.496407669988064,4,8,0.220346755142824,0.41364921254543,0.193302457402606
"n16",0.711201936069218,1,2,1,1,0
"n17",0.778592418391278,15,20,0.357427623016661,0.491593676537782,0.134166053521121
"n18",4.5,21,45,0.0000191391765604085,0.0000252544209010416,0.0000061152443406331
"n19",-0.132520528935675,15,12,0.570915971188623,1,0.429084028811377
"n20",0.489842223701166,10,24,0.000966754448703913,0.000134044589900516,-0.000832709858803397
