"case","metric","value"
"n01","median1",103.503936504807
"n01","median2",96.0082015901924
"n01","q1_1",96.2611932594269
"n01","q3_1",112.113832803359
"n01","q1_2",90.0191972808331
"n01","q3_2",106.048546071982
"n01","sw1.w",0.970157780861312
"n01","sw1.p",0.543501514432691
"n01","sw2.w",0.9612913762898
"n01","sw2.p",0.440791677044862
"n01","welch.t",1.18933106906608
"n01","welch.df",48.0101015883158
"n01","welch.p",0.240158356157722
"n01","m_hat",100.11737516492
"n01","mood.approx.a",19
"n01","mood.approx.b",8
"n01","mood.approx.p",0.0305736072985409
"n01","mood.exact.p",0.0305736072985409
"n01","method",1
"n02","median1",-0.200793566212831
"n02","median2",0.473919714313586
"n02","q1_1",-0.533515726270806
"n02","q3_1",0.628238034037433
"n02","q1_2",0.00186365762649704
"n02","q3_2",1.349053918398
"n02","sw1.w",0.85710241428536
"n02","sw1.p",0.112331435949908
"n02","sw2.w",0.914462602336396
"n02","sw2.p",0.38656172008065
"n02","welch.t",-0.304438048184479
"n02","welch.df",13.5807777389689
"n02","welch.p",0.765409184972653
"n02","m_hat",0.111628984547842
"n02","mood.approx.a",3
"n02","mood.approx.b",6
"n02","mood.approx.p",0.314685314685315
"n02","mood.exact.p",0.619269619269619
"n02","method",1
"n03","median1",48.4407961792318
"n03","median2",59.6115327975455
"n03","q1_1",45.7031078313609
"n03","q3_1",52.2088219709607
"n03","q1_2",47.4924126106027
"n03","q3_2",72.0812418038517
"n03","sw1.w",0.983319607976384
"n03","sw1.p",0.583599408952486
"n03","sw2.w",0.967076052034535
"n03","sw2.p",0.10482400474926
"n03","welch.t",-2.53172840486994
"n03","welch.df",62.4348909932871
"n03","welch.p",0.0138804564438882
"n03","m_hat",50.7779785713184
"n03","mood.approx.a",21
"n03","mood.approx.b",40
"n03","mood.approx.p",0.000933541866654601
"n03","mood.exact.p",0.000471644364715555
"n03","method",1
"n04","median1",0.854595450671441
"n04","median2",1.23689154422805
"n04","q1_1",0.266473251548521
"n04","q3_1",1.63438384903236
"n04","q1_2",0.580244625085887
"n04","q3_2",1.46251071078856
"n04","sw1.w",0.9934628832478
"n04","sw1.p",0.522996648441417
"n04","sw2.w",0.95494571284463
"n04","sw2.p",0.228885191970584
"n04","welch.t",-1.04907078446202
"n04","welch.df",43.0644517195613
"n04","welch.p",0.299997547503319
"n04","m_hat",0.926729193539334
"n04","mood.approx.a",96
"n04","mood.approx.b",19
"n04","mood.approx.p",0.169766442282897
"n04","mood.exact.p",0.169766442282897
"n04","method",1
"n05","median1",0.256852925536838
"n05","median2",1.52835697545291
"n05","q1_1",-1.06874900333673
"n05","q3_1",0.574088328811803
"n05","q1_2",0.499230634463094
"n05","q3_2",2.28801906522255
"n05","sw1.w",0.888429488519287
"n05","sw1.p",0.349564652877811
"n05","sw2.w",0.864206935629503
"n05","sw2.p",0.275557120581937
"n05","welch.t",-1.40672518744133
"n05","welch.df",3.53856681085354
"n05","welch.p",0.240973655670281
"n05","m_hat",0.956777287115351
"n05","mood.approx.a",0
"n05","mood.approx.b",2
"n05","mood.approx.p",0.428571428571428
"n05","mood.exact.p",1
"n05","method",1
"n06","median1",0.999485395677366
"n06","median2",1.99558936726154
"n06","q1_1",0.790038703006581
"n06","q3_1",1.29425471322516
"n06","q1_2",1.41621612102243
"n06","q3_2",2.89785024355739
"n06","sw1.w",0.964878681288507
"n06","sw1.p",0.244979970303029
"n06","sw2.w",0.930515844414963
"n06","sw2.p",0.0167429358708187
"n06","welch.t",-6.87862700600545
"n06","welch.df",50.363728466719
"n06","welch.p",0.00000000897968559070825
"n06","m_hat",1.25240053868398
"n06","mood.approx.a",12
"n06","mood.approx.b",33
"n06","mood.approx.p",0.00000392451556748791
"n06","mood.exact.p",0.000000116775192366897
"n06","method",2
"n07","median1",1.18501351090857
"n07","median2",1.02965207539417
"n07","q1_1",0.888828713584058
"n07","q3_1",2.28563898836667
"n07","q1_2",0.658997707244445
"n07","q3_2",1.85692002237797
"n07","sw1.w",0.867803147727232
"n07","sw1.p",0.00025092413049752
"n07","sw2.w",0.892699349901584
"n07","sw2.p",0.00118029391133864
"n07","welch.t",1.2538977699205
"n07","welch.df",76.0283950632997
"n07","welch.p",0.213720985205697
"n07","m_hat",1.10137851504239
"n07","mood.approx.a",25
"n07","mood.approx.b",19
"n07","mood.approx.p",0.261065283603835
"n07","mood.exact.p",0.823252173211423
"n07","method",2
"n08","median1",1.47232255641872
"n08","median2",2.5272651008251
"n08","q1_1",0.56155660469085
"n08","q3_1",2.50791928971208
"n08","q1_2",0.726307928542817
"n08","q3_2",4.36684129900887
"n08","sw1.w",0.854224295332002
"n08","sw1.p",0.0000201721392546414
"n08","sw2.w",0.824246871906602
"n08","sw2.p",0.00000332921286641855
"n08","welch.t",-2.41942779126327
"n08","welch.df",79.5202973469542
"n08","welch.p",0.0178275865875414
"n08","m_hat",1.83984340930039
"n08","mood.approx.a",22
"n08","mood.approx.b",28
"n08","mood.approx.p",0.317340011285686
"n08","mood.exact.p",0.317340011285686
"n08","method",2
"n09","median1",0.553463401738554
"n09","median2",1.02014918811619
"n09","q1_1",0.308362748823129
"n09","q3_1",0.870532663888298
"n09","q1_2",0.710016176104546
"n09","q3_2",1.22294587222859
"n09","sw1.w",0.9264009184976
"n09","sw1.p",0.02189565606846
"n09","sw2.w",0.923349193834892
"n09","sw2.p",0.0178252892825707
"n09","welch.t",-5.32625839794814
"n09","welch.df",67.9588547455835
"n09","welch.p",0.00000122401233418377
"n09","m_hat",0.797493541978149
"n09","mood.approx.a",11
"n09","mood.approx.b",21
"n09","mood.approx.p",0.0300801010357064
"n09","mood.exact.p",0.00380378350432944
"n09","method",2
"n10","median1",0.099438666229674
"n10","median2",0.88709368495919
"n10","q1_1",-0.481988705958443
"n10","q3_1",0.683078934251315
"n10","q1_2",0.329697348307884
"n10","q3_2",1.82599936642207
"n10","sw1.w",0.941525751262955
"n10","sw1.p",0.0244753965410842
"n10","sw2.w",0.930212195756107
"n10","sw2.p",0.00954226799989333
"n10","welch.t",-3.26588831445682
"n10","welch.df",81.0810588856369
"n10","welch.p",0.00160017518495819
"n10","m_hat",0.444250357871373
"n10","mood.approx.a",18
"n10","mood.approx.b",32
"n10","mood.approx.p",0.00550595746315419
"n10","mood.exact.p",0.000657189270153127
"n10","method",2
"n11","median1",0.281613236927894
"n11","median2",1.13843882589423
"n11","q1_1",-1.92335256779086
"n11","q3_1",2.37035462471265
"n11","q1_2",-1.09701869667591
"n11","q3_2",4.14502413182634
"n11","sw1.w",0.866774226988768
"n11","sw1.p",0.000236070134908545
"n11","sw2.w",0.83995626993647
"n11","sw2.p",0.000051791641426646
"n11","welch.t",-1.91428194182452
"n11","welch.df",76.9480187518403
"n11","welch.p",0.0593020080875321
"n11","m_hat",0.667420141047825
"n11","mood.approx.a",20
"n11","mood.approx.b",20
"n11","mood.approx.p",1
"n11","mood.exact.p",1
"n11","method",2
"n12","median1",3
"n12","median2",3
"n12","q1_1",1
"n12","q3_1",4
"n12","q1_2",2
"n12","q3_2",4
"n12","sw1.w",0.799030344287212
"n12","sw1.p",0.000000832849647235849
"n12","sw2.w",0.878766811600735
"n12","sw2.p",0.000102675305900301
"n12","welch.t",-1.18478416931163
"n12","welch.df",97.2216075533407
"n12","welch.p",0.238990962142279
"n12","m_hat",3
"n12","mood.approx.a",21
"n12","mood.approx.b",19
"n12","mood.approx.p",0.838416643920297
"n12","mood.exact.p",0.838416643920297
"n12","method",2
"n13","median1",9.92369110592532
"n13","median2",10.6296605066782
"n13","q1_1",8.5894187135022
"n13","q3_1",11.3629358698443
"n13","q1_2",9.23485573047629
"n13","q3_2",11.9431458205001
"n13","sw1.w",0.998431302379373
"n13","sw1.p",0.51056567149438
"n13","sw2.w",0.998929365320587
"n13","sw2.p",0.834590237316072
"n13","welch.t",-7.30361879874111
"n13","welch.df",1997.84188922757
"n13","welch.p",0.000000000000402691365208373
