case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,m_hat,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n01,ok,welch,9.701577808613132e-1,5.435015144327315e-1,9.612913762898013e-1,4.407916770448990e-1,1.189331069066069e0,4.801010158831609e1,2.401583561577250e-1,,,,,1441792,824544,6,395,10,8.399872275147478e-14,1,
n02,ok,welch,8.571024142853598e-1,1.123314359499077e-1,9.144626023363969e-1,3.865617200806556e-1,-3.044380481844809e-1,1.358077773896894e1,7.654091849726520e-1,,,,,917504,413169,6,308,10,1.450383207418289e-14,1,
n03,ok,welch,9.833196079763835e-1,5.835994089524853e-1,9.670760520345349e-1,1.048240047492656e-1,-2.531728404869940e0,6.243489099328722e1,1.388045644388845e-2,,,,,2490368,1611492,6,384,10,5.295652590648585e-14,1,
n04,ok,welch,9.934628832478010e-1,5.229966484415527e-1,9.549457128446310e-1,2.288851919705933e-1,-1.049070784462019e0,4.306445171956126e1,2.999975475033111e-1,,,,,3407872,2791522,8,418,10,2.594075010107660e-13,1,
n05,ok,welch,8.884294885192870e-1,3.495646528778111e-1,8.642069356295018e-1,2.755571205819337e-1,-1.406725187441335e0,3.538566810853541e0,2.409736556702814e-1,,,,,786432,297221,6,310,10,1.208703686132870e-14,1,
n06,ok,mood,9.648786812885071e-1,2.449799703030292e-1,9.305158444149624e-1,1.674293587081768e-2,,,,1.497537381469454e0,4,28,4.875302715078166e-8,4849664,3402797,8,455,11,6.112947327297321e-14,1,
n07,ok,mood,8.678031477272323e-1,2.509241304975318e-4,8.926993499015833e-1,1.180293911338617e-3,,,,1.107332793151373e0,25,19,2.610652836038531e-1,5373952,3747255,8,454,11,6.910579568877526e-14,1,
n08,ok,mood,8.542242953320007e-1,2.017213925464043e-5,8.242468719066014e-1,3.329212866418467e-6,,,,1.999793828621907e0,17,27,6.926404391768348e-2,5636096,4522900,9,518,11,4.803683334854836e-14,1,
n09,ok,mood,9.264009184976002e-1,2.189565606846102e-2,9.233491938348931e-1,1.782528928257152e-2,,,,7.868062949273720e-1,11,23,8.059826140812080e-3,4325376,3453272,8,466,11,7.059572876383455e-14,1,
n10,ok,mood,9.415257512629547e-1,2.447539654108416e-2,9.302121957561075e-1,9.542267999893630e-3,,,,4.932661755944320e-1,16,31,2.917801531165909e-3,5636096,4307521,9,505,11,9.215230573581497e-14,1,
n11,ok,mood,8.667742269887674e-1,2.360701349085331e-4,8.399562699364695e-1,5.179164142664532e-5,,,,7.100260314110610e-1,20,20,1.000000000000000e0,5373952,3957042,8,464,11,5.063465125007650e-14,1,
n12,ok,mood,7.990303442872118e-1,8.328496472358491e-7,8.787668116007351e-1,1.026753059003012e-4,,,,3.000000000000000e0,21,19,8.384166439202900e-1,5373952,4260376,8,496,11,8.342397668101876e-15,1,
n13,ok,welch,9.984313023793716e-1,5.105656714935415e-1,9.989293653205857e-1,8.345902373154276e-1,-7.303618798741312e0,1.997841889227571e3,4.026913652076421e-13,,,,,24772608,23137690,28,1356,10,1.815041940157838e-12,1,
n14,ok,welch,9.893575974551304e-1,9.967281548074886e-1,9.194196229244879e-1,2.811428634902406e-1,-1.727727627307807e0,1.929042256395763e1,1.000134719998147e-1,,,,,917504,551780,6,313,10,1.184689176359281e-14,1,
n15,expected_error,,,,,,,,,,,,,0,0,0,0,0,0.000000000000000e0,1,all 'x' values are identical
n16,ok,welch,9.928769181173612e-1,8.386190439986847e-1,9.096217653479722e-1,4.168189969068182e-1,-1.152847402337255e0,2.560521769532663e0,3.451723903109801e-1,,,,,655360,231895,6,289,10,5.560256157780501e-15,1,
n17,ok,mood,8.942415533353328e-1,1.759978578875041e-3,8.911226830273751e-1,1.444871168638987e-3,,,,7.785924183912785e-1,15,20,3.574276230166835e-1,5373952,3632501,8,452,11,6.305480032482023e-14,1,
n18,ok,mood,9.372296405735568e-1,4.079495853944562e-3,9.545752585508059e-1,2.569044599207626e-2,,,,4.500000000000000e0,21,45,1.913917656040512e-5,6422528,5409415,9,545,11,1.766719437885261e-13,1,
n19,ok,welch,9.787673906334254e-1,8.596292062788853e-1,9.408832945691192e-1,1.551484562437858e-1,-8.628573435817084e-1,2.771058448157487e1,3.956225496847806e-1,,,,,1441792,790050,6,327,10,1.771079166672256e-14,1,
n20,ok,welch,9.719995616423838e-1,5.563362191575335e-1,9.760520252670237e-1,6.794777351922068e-1,-4.772312050911388e0,6.049765900234750e1,1.192604982325489e-5,,,,,1441792,934756,6,327,10,3.055460022485985e-14,1,
