case,status,method,sw1_w,sw1_p,sw2_w,sw2_p,welch_t,welch_df,welch_p,welch_mean1,welch_mean2,welch_sd1,welch_sd2,m_hat,median1,median2,mood_a,mood_b,mood_p,total_cycles,user_cycles,segments,wall_ms,asserts,max_rel_err,pass,error
n01,ok,welch,9.701577808613132e-1,5.435015144327315e-1,9.612913762898013e-1,4.407916770448990e-1,1.189331069066069e0,4.801010158831609e1,2.401583561577250e-1,1.030438164179483e2,9.804154715652450e1,1.432547110014433e1,1.646920908754581e1,,1.035039365048065e2,9.600820159019240e1,,,,1441792,860731,6,425,18,8.399872275147478e-14,1,
n02,ok,welch,8.571024142853598e-1,1.123314359499077e-1,9.144626023363969e-1,3.865617200806556e-1,-3.044380481844809e-1,1.358077773896894e1,7.654091849726520e-1,1.999735250386536e-1,3.763587085849915e-1,1.052051712815623e0,1.256436478577543e0,,-2.007935662128310e-1,4.739197143135855e-1,,,,917504,434740,6,369,18,1.491633619141712e-13,1,
n03,ok,welch,9.833196079763835e-1,5.835994089524853e-1,9.670760520345349e-1,1.048240047492656e-1,-2.531728404869940e0,6.243489099328722e1,1.388045644388845e-2,4.905340105149312e1,5.780907724802317e1,4.507253236597327e0,2.640658557460939e1,,4.844079617923180e1,5.961153279754545e1,,,,2490368,1680244,6,820,18,5.295652590648585e-14,1,
n04,ok,welch,9.934628832478010e-1,5.229966484415527e-1,9.549457128446310e-1,2.288851919705933e-1,-1.049070784462019e0,4.306445171956126e1,2.999975475033111e-1,9.383834154212185e-1,1.114482366333011e0,1.013703175212240e0,8.313776450268218e-1,,8.545954506714410e-1,1.236891544228050e0,,,,3670016,2918468,8,968,18,2.594075010107660e-13,1,
n05,ok,welch,8.884294885192870e-1,3.495646528778111e-1,8.642069356295018e-1,2.755571205819337e-1,-1.406725187441335e0,3.538566810853541e0,2.409736556702814e-1,-4.153914248622281e-1,1.258892724232743e0,1.742942583645110e0,1.271156120600220e0,,2.568529255368380e-1,1.528356975452909e0,,,,786432,317451,6,759,18,1.208703686132870e-14,1,
n06,ok,mood,9.648786812885071e-1,2.449799703030292e-1,9.305158444149624e-1,1.674293587081768e-2,,,,,,,,1.252400538683976e0,9.994853956773635e-1,1.995589367261545e0,12,33,3.924515567488235e-6,5373952,3710454,8,1072,17,8.266335378714137e-14,1,
n07,ok,mood,8.678031477272323e-1,2.509241304975318e-4,8.926993499015833e-1,1.180293911338617e-3,,,,,,,,1.101378515042388e0,1.185013510908575e0,1.029652075394170e0,25,19,2.610652836038531e-1,5373952,3835585,8,783,17,6.910579568877526e-14,1,
n08,ok,mood,8.542242953320007e-1,2.017213925464043e-5,8.242468719066014e-1,3.329212866418467e-6,,,,,,,,1.839843409300388e0,1.472322556418715e0,2.527265100825100e0,22,28,3.173400112856882e-1,6422528,4991317,9,827,17,4.803683334854836e-14,1,
n09,ok,mood,9.264009184976002e-1,2.189565606846102e-2,9.233491938348931e-1,1.782528928257152e-2,,,,,,,,7.974935419781486e-1,5.534634017385540e-1,1.020149188116190e0,11,21,3.008010103570881e-2,4849664,3399647,8,699,17,8.016148711553474e-14,1,
n10,ok,mood,9.415257512629547e-1,2.447539654108416e-2,9.302121957561075e-1,9.542267999893630e-3,,,,,,,,4.442503578713733e-1,9.943866622967400e-2,8.870936849591901e-1,18,32,5.505957463154638e-3,5373952,4189618,8,529,17,8.128625398889731e-14,1,
