"case","name","alpha","n1","n2"
"n01","normal_equal_small",0.05,30,25
"n02","normal_equal_tiny",0.05,8,8
"n03","normal_unequal_var",0.05,60,60
"n04","normal_unequal_n",0.05,200,30
"n05","normal_n3_n4",0.05,3,4
"n06","lognormal_shifted",0.05,40,40
"n07","gamma_shape2",0.05,40,40
"n08","exponential",0.05,50,50
"n09","uniform",0.05,35,35
"n10","t3_heavytail",0.05,45,45
"n11","bimodal_mixture",0.05,40,40
"n12","discrete_counts",0.05,50,50
"n13","large_normal_n1000",0.05,1000,1000
"n14","boundary_n11_n12",0.05,11,12
"n15","constant_group",0.05,20,20
"n16","n3_exact_t",0.05,3,3
"n17","halfnormal_skew",0.05,38,38
"n18","poisson_counts",0.05,60,60
"n19","normal_difflag",0.05,25,25
"n20","scale_diff_normal",0.05,32,32
