"case","group","value"
"n01",1,110.738885107715
"n01",1,99.2080209827348
"n01",1,80.4810621434395
"n01",1,114.149805065044
"n01",1,104.521077106285
"n01",1,95.4286128527435
"n01",1,114.569954233412
"n01",1,74.1896675525118
"n01",1,78.6533181562698
"n01",1,113.042311066403
"n01",1,106.927555001323
"n01",1,76.2289048293868
"n01",1,103.895815155975
"n01",1,103.112057853638
"n01",1,98.7589344794769
"n01",1,112.367221384294
"n01",1,98.8783097360496
"n01",1,109.601168544118
"n01",1,121.366722313386
"n01",1,100.556537981416
"n01",1,131.361328916867
"n01",1,93.7563444149754
"n01",1,100.166200399368
"n01",1,131.039463126732
"n01",1,90.3047493452019
"n01",1,101.673563736384
"n01",1,106.360158850319
"n01",1,111.353667060556
"n01",1,90.9971784264264
"n01",1,117.625896715998
"n01",2,96.0082015901924
"n01",2,90.8883526289812
"n01",2,87.9757199914722
"n01",2,105.52765488911
"n01",2,90.0191972808331
"n01",2,80.6346102095757
"n01",2,120.445214599297
"n01",2,98.0478477568567
"n01",2,97.1173519154528
"n01",2,85.0894339236958
"n01",2,107.251917845533
"n01",2,90.1336187872166
"n01",2,77.7908868670771
"n01",2,64.9152125184611
"n01",2,106.048546071982
"n01",2,116.957007991097
"n01",2,96.2333896382031
"n01",2,91.0824453875549
"n01",2,116.946986315716
"n01",2,93.9328350218199
"n01",2,99.8235895312174
"n01",2,94.996516055664
"n01",2,141.860294771477
"n01",2,120.782564267405
"n01",2,80.5292830572211
"n02",1,-0.792768335053606
"n02",1,-0.195134202753412
"n02",1,1.35883406527655
"n02",1,-0.20645292967225
"n02",1,-0.505302120039749
"n02",1,2.17406224389128
"n02",1,-0.618156544963978
"n02",1,0.384706023624393
"n02",2,-0.549507358456482
"n02",2,-2.1040968630668
"n02",2,1.50109339309769
"n02",2,0.185653996320823
"n02",2,0.60344267105187
"n02",2,1.73151297865943
"n02",2,0.344396757575301
"n02",2,1.2983740934981
"n03",1,47.2729707555365
"n03",1,50.6231450513505
"n03",1,54.1559107029272
"n03",1,44.7979948190595
"n03",1,50.8278292059403
"n03",1,55.0164243910521
"n03",1,47.2962457879516
"n03",1,46.6514555956519
"n03",1,44.8955451911795
"n03",1,50.9322478969837
"n03",1,54.8589127794987
"n03",1,50.7474612231607
"n03",1,45.4908062339247
"n03",1,52.9937273195339
"n03",1,45.6252497510832
"n03",1,44.7673107984846
"n03",1,52.2115902953936
"n03",1,44.2881505044933
"n03",1,54.8312317851879
"n03",1,59.5229559476177
"n03",1,48.2943426968922
